x,y,wl,wr,slope,friction_coefficient
-36.94013785,116.53415680,4.58131229,4.57220152,-1.00000000,-1.00000000
-36.24365827,115.81655180,4.57975838,4.57147382,-1.00000000,-1.00000000
-35.54614990,115.09998330,4.57736684,4.57032365,-1.00000000,-1.00000000
-34.84737271,114.38464170,4.57359755,4.56752969,-1.00000000,-1.00000000
-34.14724487,113.67062470,4.56756029,4.56283998,-1.00000000,-1.00000000
-33.44534906,112.95834500,4.55941821,4.55663414,-1.00000000,-1.00000000
-32.74121074,112.24828210,4.54964883,4.54945313,-1.00000000,-1.00000000
-32.03430373,111.54097580,4.53916478,4.54229240,-1.00000000,-1.00000000
-31.32432139,110.83675600,4.53005729,4.53710508,-1.00000000,-1.00000000
-30.61114030,110.13577660,4.52463255,4.53546491,-1.00000000,-1.00000000
-29.89545597,109.43735250,4.52308763,4.53597868,-1.00000000,-1.00000000
-29.17857270,108.74015930,4.52291059,4.53610894,-1.00000000,-1.00000000
-28.46152682,108.04313330,4.52162842,4.53446983,-1.00000000,-1.00000000
-27.74446335,107.34612550,4.51895521,4.53188981,-1.00000000,-1.00000000
-27.02718699,106.64933670,4.51590739,4.52907862,-1.00000000,-1.00000000
-26.30976014,105.95270280,4.51322183,4.52650766,-1.00000000,-1.00000000
-25.59234465,105.25605730,4.51089800,4.52413846,-1.00000000,-1.00000000
-24.87499584,104.55934310,4.50862193,4.52182142,-1.00000000,-1.00000000
-24.15766026,103.86261520,4.50619701,4.51941378,-1.00000000,-1.00000000
-23.44027366,103.16593990,4.50361450,4.51690368,-1.00000000,-1.00000000
-22.72280882,102.46934520,4.50094441,4.51431601,-1.00000000,-1.00000000
-22.00526792,101.77282880,4.49823603,4.51166725,-1.00000000,-1.00000000
-21.28770214,101.07633810,4.49558111,4.50899056,-1.00000000,-1.00000000
-20.57020376,100.37977790,4.49307376,4.50637457,-1.00000000,-1.00000000
-19.85286316,99.68305528,4.49078475,4.50392411,-1.00000000,-1.00000000
-19.13570791,98.98614184,4.48869183,4.50168373,-1.00000000,-1.00000000
-18.41871919,98.28905706,4.48677116,4.49963664,-1.00000000,-1.00000000
-17.70186457,97.59183439,4.48495419,4.49775546,-1.00000000,-1.00000000
