x,y,wl,wr
456.5476171,-84.20115431,4.946715273,4.965764267
455.5477208,-84.18819512,4.922056575,4.940866852
454.5478653,-84.17077429,4.903291836,4.919555799
453.5484472,-84.13693806,4.899323991,4.911354034
452.5497317,-84.08616951,4.907585134,4.916954736
451.551446,-84.02764498,4.920221137,4.928966503
450.5531173,-83.96986794,4.930880183,4.940531364
449.5545391,-83.91655177,4.938033959,4.948502959
448.5557932,-83.86648926,4.942816818,4.953859654
447.5569409,-83.81859069,4.946098682,4.957470296
446.5580355,-83.77181488,4.948658197,4.960162278
445.5591211,-83.72523156,4.951236051,4.962667967
444.5602254,-83.67824944,4.954129552,4.965479808
443.5613321,-83.6312141,4.956909433,4.96833478
442.5624057,-83.58488913,4.95898399,4.970631121
441.5634325,-83.53958528,4.960295388,4.972136826
440.5644263,-83.49501229,4.961168718,4.973129858
439.5654037,-83.45081083,4.961902769,4.97391135
438.5663738,-83.40677283,4.962574156,4.974616097
437.5673376,-83.36288063,4.96313574,4.975205809
436.5682946,-83.31914062,4.963544364,4.975652894
435.5692408,-83.27564891,4.963710118,4.975892691
434.5701688,-83.23257798,4.963506426,4.975802427
433.5710727,-83.19007084,4.962842488,4.975270476
432.5719537,-83.1481015,4.961780444,4.974307431
431.5728195,-83.10649965,4.960454755,4.973045331
430.573678,-83.06507112,4.959037118,4.971634672
429.5745435,-83.02347465,4.957835825,4.970342807
428.5754364,-82.9812253,4.957247916,4.969556846
427.5763723,-82.93797218,4.95748455,4.96956992
426.5773444,-82.89388992,4.958291707,4.97026201
425.5783281,-82.84954579,4.959207745,4.971180656
424.5793052,-82.8053496,4.959963667,4.971987872
423.580272,-82.761387,4.960541101,4.972606353
422.5812315,-82.71759024,4.960993291,4.973090397
421.5821827,-82.67398582,4.961269044,4.973424956
420.5831184,-82.63073613,4.961226402,4.973484252
419.5840306,-82.5880319,4.960721052,4.973115171
418.5849186,-82.54589984,4.959783352,4.972283784
417.5857902,-82.50415777,4.958563238,4.971127493
416.5866543,-82.46259306,4.957239024,4.969812336
415.5875245,-82.42088583,4.956108509,4.968602025
414.5884193,-82.37859027,4.955559083,4.967874508
413.5893541,-82.3353627,4.955823671,4.967922766
412.5903291,-82.29121418,4.956754254,4.968674396
411.591332,-82.24643951,4.958077681,4.969892276
410.5923586,-82.20113924,4.959491075,4.97115862
409.5933741,-82.1560764,4.961374504,4.973350433
408.5944534,-82.10964204,4.96233268,4.974723405
407.5954797,-82.06435625,4.964296377,4.978406668
406.5964521,-82.02026406,4.966811759,4.981396305
405.5973711,-81.97740408,4.969993838,4.985888845
404.5982048,-81.93657596,4.974100623,4.991036369
403.5989547,-81.89785865,4.978701627,4.995962557
402.5996453,-81.86069977,4.98295605,4.999743426
401.6003177,-81.82403434,4.986307787,5.002547268
400.6009953,-81.7872281,4.989035058,5.005069309
399.6016836,-81.75013123,4.991660992,5.007823315
398.6023795,-81.71282936,4.994523896,5.010882405
397.6030854,-81.67526262,4.997710405,5.014230511
396.6037932,-81.63764599,5.001186615,5.017624342
395.6044787,-81.60062596,5.004527257,5.020578524
394.605114,-81.56498552,5.007064946,5.022538782
393.6057007,-81.53073566,5.008433036,5.023541128
392.6062625,-81.49721911,5.009003118,5.023902816
391.6068303,-81.46352564,5.009230744,5.023889446
390.6074252,-81.42903676,5.009323293,5.023593623
389.6080606,-81.39339395,5.009274404,5.023275476
388.6087449,-81.35640704,5.009292424,5.023342948
387.6094992,-81.31757421,5.009845016,5.024419164
386.6103531,-81.27625644,5.011748857,5.02726217
385.6113105,-81.2325095,5.015651518,5.032100712
384.612328,-81.1874086,5.021293527,5.038215023
383.613355,-81.14209973,5.027712078,5.044632938
382.6143562,-81.09736361,5.034058948,5.050620888
381.6153069,-81.05376872,5.039743136,5.055714257
380.6161851,-81.01186717,5.044277919,5.059521634
379.61699,-80.97175353,5.047420087,5.062077033
378.6177292,-80.93331062,5.049316442,5.063352156
377.6184282,-80.89592717,5.049938752,5.063330847
376.6191457,-80.85805062,5.049606746,5.062769061
375.6199483,-80.81799645,5.049651668,5.063783007
374.6207911,-80.7769531,5.051902586,5.06752326
373.6214737,-80.73999411,5.055748439,5.071560989
372.6218551,-80.71239287,5.057277213,5.070914196
371.6220299,-80.69370857,5.052641535,5.06351814
370.6221464,-80.67842817,5.042616713,5.052197078
369.6222886,-80.66157125,5.031170123,5.041268508
368.6224691,-80.64257392,5.021193806,5.032522649
367.622676,-80.62222648,5.013142989,5.025948764
366.6229194,-80.60018272,5.007008146,5.02061972
365.6232575,-80.57412612,5.002375104,5.015790794
364.623762,-80.54249764,4.999655988,5.012406318
363.6241604,-80.5138805,4.998645225,5.015504554
