x,y,wl,wr,slope,friction_coefficient
-81.40430958,200.53916990,4.14252739,4.13963387,-1.00000000,-1.00000000
-80.52130454,201.00850590,4.13953863,4.13629504,-1.00000000,-1.00000000
-79.64025540,201.48153550,4.13889987,4.13559586,-1.00000000,-1.00000000
-78.76235851,201.96038250,4.13895525,4.13454584,-1.00000000,-1.00000000
-77.88484734,202.43994290,4.13694757,4.13354387,-1.00000000,-1.00000000
-77.00324342,202.91193180,4.13699865,4.13783137,-1.00000000,-1.00000000
-76.11489802,203.37109970,4.14529896,4.15140763,-1.00000000,-1.00000000
-75.22132506,203.82002380,4.16287115,4.17142940,-1.00000000,-1.00000000
-74.32537353,204.26417160,4.18266198,4.19049564,-1.00000000,-1.00000000
-73.42799817,204.70545560,4.19667042,4.20129001,-1.00000000,-1.00000000
-72.52790731,205.14115240,4.20096540,4.20444625,-1.00000000,-1.00000000
-71.62433874,205.56959780,4.19798399,4.20354487,-1.00000000,-1.00000000
-70.72075986,205.99801900,4.19531542,4.19990361,-1.00000000,-1.00000000
-69.81772261,206.42758140,4.19510189,4.19859935,-1.00000000,-1.00000000
-68.91444578,206.85663960,4.19560524,4.19928856,-1.00000000,-1.00000000
-68.00988115,207.28297610,4.19547143,4.20019841,-1.00000000,-1.00000000
-67.10232526,207.70290800,4.19444759,4.20088413,-1.00000000,-1.00000000
-66.18982331,208.11197830,4.19246422,4.20139104,-1.00000000,-1.00000000
-65.27137727,208.50752630,4.18761340,4.19980922,-1.00000000,-1.00000000
-64.34973589,208.89556910,4.17808648,4.19275644,-1.00000000,-1.00000000
-63.42865100,209.28492960,4.16488366,4.18009269,-1.00000000,-1.00000000
-62.50922920,209.67820490,4.15332625,4.16694523,-1.00000000,-1.00000000
-61.58787146,210.06691610,4.14922258,4.16053275,-1.00000000,-1.00000000
-60.66111864,210.44259510,4.15398527,4.16366445,-1.00000000,-1.00000000
-59.72938670,210.80580200,4.16547711,4.17182320,-1.00000000,-1.00000000
-58.79175390,211.15340200,4.17522982,4.16819871,-1.00000000,-1.00000000
