x,y,wl,wr
-20.706785,158.8415924,4.253553727,4.258822063
-21.70428207,158.7691328,4.271663795,4.272722967
-22.69799079,158.6585603,4.302375416,4.298449129
-23.68964668,158.5298348,4.323039852,4.33508496
-24.67283393,158.3465273,4.342736531,4.357053728
-25.65087112,158.1390703,4.350216346,4.362438837
-26.61976846,157.8908177,4.371901851,4.378941667
-27.57930136,157.6097521,4.398898554,4.398169561
-28.53374551,157.3113748,4.414309686,4.417420513
-29.46978764,156.9590985,4.448367955,4.442296662
-30.38761103,156.5624106,4.434722271,4.466983573
-31.28015785,156.1113704,4.413108593,4.433017879
-32.15417264,155.6255914,4.393712532,4.39861951
-33.01413552,155.1151916,4.392554855,4.387722862
-33.85657954,154.5764499,4.410171186,4.400696971
-34.66036033,153.9817266,4.390398006,4.424610164
-35.41733749,153.328389,4.382905162,4.384456275
-36.14102808,152.6382305,4.394341963,4.390544928
-36.84523032,151.9285912,4.414634801,4.465182128
-37.49309891,151.1666093,4.468366923,4.48716075
-38.10596087,150.3773068,4.497497479,4.517279897
-38.66266055,149.5460147,4.553522971,4.567185365
-39.21442744,148.7121846,4.591258029,4.59898381
-39.76935235,147.8802089,4.615751147,4.621940285
-40.31077185,147.0395456,4.648198841,4.651170983
-40.8255809,146.1823012,4.677711179,4.679187176
-41.27164888,145.2872167,4.660221697,4.677603786
-41.67375799,144.3716641,4.660832901,4.666031802
-42.0757632,143.4560224,4.662380289,4.680472775
-42.43052405,142.5210652,4.709796551,4.744894171
-42.75185393,141.5740818,4.763472813,4.776267196
-43.04322705,140.6181525,4.813276901,4.820398537
-43.25669051,139.6407204,4.834400514,4.835402211
-43.43481911,138.6568655,4.840833184,4.836094215
-43.56167271,137.6649291,4.853794783,4.841304489
-43.65818547,136.6696051,4.859973627,4.849827051
-43.73519966,135.6725802,4.861560524,4.870184023
-43.78781426,134.6739461,4.86420531,4.87805097
-43.80651522,133.6741666,4.860756774,4.869214679
-43.78550252,132.6743861,4.858256315,4.857507458
-43.73694637,131.6755636,4.861393001,4.856653183
-43.66683239,130.6780046,4.873382545,4.864062987
-43.55167322,129.6848279,4.845623515,4.859079582
-43.39573733,128.6965749,4.782266039,4.841114527
-43.16020203,127.7250464,4.763221799,4.764711851
-42.92561643,126.7529928,4.742989791,4.744156957
-42.64852923,125.7921923,4.747394285,4.732491136
-42.34160008,124.8401482,4.69670582,4.717812719
-41.96386441,123.9144823,4.671601301,4.696864863
-41.58614789,122.9885881,4.632627183,4.680895897
-41.17122929,122.0786421,4.615769269,4.625177235
-40.69254456,121.200905,4.606090966,4.595275814
-40.15583101,120.3576206,4.544047638,4.607454313
-39.54979118,119.5619903,4.534194684,4.545707928
-38.93689374,118.7719377,4.531393142,4.53231835
-38.29415471,118.0058571,4.553074232,4.55025427
-37.62630437,117.2615529,4.576254753,4.562873524
-36.94013785,116.5341568,4.581312288,4.572201517
