x,y,wl,wr
662.8607877,-197.6714881,4.909723236,4.927875008
661.8615797,-197.7117619,4.884839128,4.897796851
660.8619208,-197.7375453,4.859370475,4.865201421
659.8621795,-197.7604256,4.832170253,4.842206045
658.862546,-197.7874638,4.804838294,4.815861512
657.8630191,-197.8182263,4.778199423,4.789928924
656.8635065,-197.8494422,4.751970289,4.76422749
655.863957,-197.8794565,4.725745677,4.73792411
654.8643723,-197.9082731,4.699723814,4.711347265
653.8647636,-197.9362476,4.674289247,4.684973462
652.8651425,-197.9637719,4.649585523,4.659185785
651.8655246,-197.9914137,4.625725825,4.634169796
650.8659245,-198.0196924,4.602909778,4.610174792
649.8663388,-198.0484753,4.580859913,4.587400249
648.8667556,-198.0773421,4.559049776,4.565393326
647.8671653,-198.1059657,4.536999379,4.5435512
646.867571,-198.1344454,4.514668578,4.52140749
645.8679783,-198.1629842,4.492123772,4.499014789
644.8683916,-198.1917338,4.469665459,4.476475222
643.8688057,-198.2205092,4.447631147,4.454047628
642.8692102,-198.2489491,4.426282993,4.431969901
641.8695981,-198.2767998,4.404652625,4.410365741
640.8699916,-198.3048509,4.381350606,4.388474214
639.8704278,-198.3343853,4.355706826,4.365253268
638.8709247,-198.3659027,4.331881319,4.340450877
637.8713753,-198.3959183,4.315085074,4.317282072
636.8716553,-198.4195988,4.29907032,4.299675854
635.8717626,-198.4342093,4.282507421,4.289509697
634.871802,-198.4430993,4.273444004,4.283413481
633.8718334,-198.4510352,4.267635687,4.277405536
632.8718833,-198.4610154,4.26125607,4.269322941
631.8719513,-198.4726813,4.253174263,4.260233418
630.8720284,-198.485099,4.245027525,4.251558844
629.8721083,-198.4977379,4.237789712,4.244056422
628.872192,-198.5106744,4.231496823,4.237393854
627.8722817,-198.524068,4.225547296,4.231053217
626.8723759,-198.5377981,4.21955407,4.224855658
625.8724697,-198.5514958,4.213501209,4.218913839
624.872558,-198.5647841,4.207547285,4.21334703
623.8726369,-198.5773428,4.201900941,4.20831067
622.8727033,-198.5888646,4.196817729,4.204059543
621.8727559,-198.5991286,4.192638476,4.200774828
620.8728002,-198.6085404,4.189535829,4.198131733
619.8728428,-198.6177665,4.187145632,4.195707363
618.8728881,-198.6272844,4.184888807,4.193204855
617.8729339,-198.6368587,4.182215692,4.190644503
616.8729761,-198.6460385,4.179007489,4.18791046
615.8730127,-198.6545923,4.175349281,4.184826456
614.8730453,-198.6626752,4.171447236,4.181295152
613.873076,-198.6705146,4.167385259,4.177420385
612.8731061,-198.6782682,4.163203142,4.173314113
611.8731357,-198.6859629,4.158948138,4.16912154
610.8731648,-198.6935966,4.154745654,4.164967164
609.8731936,-198.7011769,4.150671514,4.160918741
608.873223,-198.7088427,4.146646537,4.156803305
607.8732545,-198.7167799,4.142400061,4.152358605
606.873288,-198.7249719,4.137750147,4.147614599
605.8733188,-198.7328223,4.13303136,4.143291138
604.8733418,-198.7396011,4.129146409,4.140286156
603.8733545,-198.7446295,4.126595285,4.139095743
602.8733591,-198.7476887,4.125022496,4.139095008
601.8733596,-198.7486765,4.123490249,4.139274618
600.8733598,-198.7480709,4.121726602,4.137836503
599.8733607,-198.7467513,4.119960261,4.136221675
598.8733613,-198.7455987,4.118470728,4.134964634
597.8733616,-198.7448401,4.117127977,4.133679182
596.8733618,-198.7441975,4.115730278,4.132164064
595.8733622,-198.7433743,4.11419685,4.130559464
594.8733626,-198.7424509,4.112661889,4.129159337
593.8733628,-198.7417582,4.111319795,4.128021741
592.8733628,-198.7416355,4.110320939,4.126444041
591.8733631,-198.7423901,4.109978746,4.1252178
590.873365,-198.7443198,4.110808768,4.124837729
589.8733709,-198.7477456,4.113360887,4.12587695
588.8733833,-198.7527428,4.11726954,4.128385935
587.8734039,-198.7591615,4.121314747,4.131355228
586.8734323,-198.7666903,4.124204197,4.133613432
585.8734649,-198.77477,4.125646773,4.13486404
584.8734979,-198.7828921,4.126413142,4.135714814
583.873529,-198.7907822,4.127290719,4.136748433
582.8735593,-198.7985668,4.128554301,4.138016477
581.8735901,-198.8064111,4.129941099,4.139329514
580.8736215,-198.8143391,4.131237294,4.140582926
579.8736526,-198.8222218,4.132422595,4.141843066
578.8736823,-198.8299237,4.133668819,4.143223086
577.8737116,-198.8375775,4.135083816,4.144605451
576.8737434,-198.8455526,4.136519817,4.145699367
575.8737805,-198.8541711,4.137556957,4.146300448
574.873817,-198.862713,4.138059383,4.147121366
573.8738423,-198.8698352,4.138871274,4.149269541
572.8738529,-198.8744319,4.141281722,4.153538519
571.8738566,-198.8771471,4.145910294,4.159210759
570.8738589,-198.879302,4.151841411,4.165216671
569.8738625,-198.881995,4.157930546,4.170767246
568.8738677,-198.8852043,4.163476472,4.176012395
567.8738731,-198.8884955,4.16864258,4.181222253
566.8738776,-198.8914853,4.173619617,4.186483645
565.8738813,-198.894224,4.178661901,4.191645009
564.8738855,-198.8971238,4.18408086,4.196737609
563.8738919,-198.9007001,4.19021054,4.202151288
562.8738999,-198.9046848,4.196494676,4.208286789
561.8739047,-198.9077925,4.201475107,4.214528716
560.8739052,-198.9087726,4.20373115,4.219018325
559.8739053,-198.9082838,4.203161098,4.21807931
558.8739053,-198.9084574,4.200490827,4.214445573
557.8739082,-198.9108555,4.196430757,4.210095846
556.8739166,-198.9149563,4.191435162,4.204377021
555.8739262,-198.9193364,4.186096415,4.199092343
554.8739335,-198.9231524,4.18088737,4.194396774
553.8739391,-198.9265183,4.175932712,4.189733795
552.8739445,-198.9297825,4.171084449,4.184914482
551.8739503,-198.9332,4.16625487,4.179944136
550.873957,-198.936867,4.161351266,4.174851858
549.8739648,-198.940806,4.15624051,4.169595473
548.8739722,-198.9446458,4.150894286,4.164461728
547.8739772,-198.9478201,4.145690765,4.15988945
546.8739792,-198.9498404,4.141171087,4.156087411
545.8739797,-198.9508026,4.137661259,4.15310827
544.8739797,-198.9510355,4.134948524,4.150744216
543.8739798,-198.9508462,4.132749659,4.148737505
542.8739798,-198.9504445,4.130835966,4.146917656
541.8739799,-198.9500178,4.12905418,4.145134502
540.87398,-198.9496803,4.127243694,4.143281133
539.87398,-198.9493691,4.125348814,4.14139489
538.8739801,-198.948981,4.123462126,4.139558291
537.8739802,-198.9485274,4.121658277,4.137776798
536.8739803,-198.9481877,4.119895014,4.135935164
535.8739803,-198.9481719,4.117965258,4.133861069
534.8739803,-198.948244,4.115745405,4.131695884
533.8739804,-198.9477186,4.113552267,4.129894732
532.8739821,-198.9458679,4.112000186,4.128990031
531.8739874,-198.9426149,4.111504848,4.128967842
530.8739969,-198.9382499,4.111816563,4.129412339
529.8740105,-198.9330318,4.112461644,4.129864668
528.8740283,-198.9270708,4.113052153,4.130173891
527.8740492,-198.9206146,4.113497712,4.130430245
526.8740708,-198.9140378,4.113831352,4.130728752
525.8740917,-198.9075707,4.114138268,4.131103246
524.8741118,-198.9012246,4.114486156,4.131499262
523.8741318,-198.8949066,4.114863004,4.131879052
522.874152,-198.8885542,4.115242896,4.132240534
521.8741724,-198.8821626,4.115615208,4.132604272
520.8741929,-198.8757591,4.115989995,4.132979639
519.8742132,-198.8693799,4.116369544,4.13335141
518.8742333,-198.8630489,4.116730776,4.133690234
517.8742532,-198.8567343,4.117050804,4.134005315
516.8742736,-198.8503444,4.117363186,4.134365253
515.8742951,-198.8437881,4.117757762,4.134855782
514.8743178,-198.8370533,4.118308073,4.135501679
513.8743413,-198.8301922,4.119006023,4.136257287
512.8743654,-198.82325,4.119793623,4.137064644
511.8743899,-198.8162508,4.120620666,4.137886469
510.8744147,-198.8092182,4.121460657,4.138732255
509.8744392,-198.8022106,4.122321216,4.139630327
508.8744633,-198.795275,4.123223232,4.140594186
507.8744869,-198.7884033,4.124168974,4.141510092
506.874511,-198.7814516,4.125050003,4.142198067
505.874537,-198.7742538,4.12573044,4.142626121
504.8745643,-198.7668543,4.126241883,4.143272831
503.8745893,-198.7597899,4.127029472,4.144793312
502.874608,-198.7536679,4.12861153,4.147485362
501.8746204,-198.7486956,4.13120865,4.15071683
500.8746297,-198.7443846,4.13441491,4.153440954
499.8746382,-198.7402537,4.137677849,4.156625932
498.8746466,-198.7361462,4.140536309,4.159526553
497.8746552,-198.7320006,4.142936463,4.161957866
496.8746662,-198.7273263,4.145270689,4.16472133
495.8746832,-198.7214819,4.148293996,4.16850274
494.8747082,-198.7144186,4.152522301,4.173333345
493.8747376,-198.7067487,4.157716998,4.17869892
492.8747664,-198.6991605,4.16318895,4.184007959
491.8747929,-198.6918789,4.168425967,4.189058895
490.8748184,-198.6847441,4.173406655,4.193980862
489.8748441,-198.6775641,4.178337196,4.19893541
