x,y,wl,wr,slope,friction_coefficient
98.27454625,-117.6979572,4.6231059,4.6075005,-1,-1
97.62830772,-116.9348217,4.62892663,4.61324148,-1,-1
96.98197788,-116.1717636,4.63463216,4.61913779,-1,-1
96.33585968,-115.4085262,4.64040415,4.62526157,-1,-1
95.68986204,-114.6451868,4.64658559,4.63130657,-1,-1
95.04341007,-113.8822321,4.65287434,4.63680373,-1,-1
94.39574219,-113.1203094,4.65800605,4.64147559,-1,-1
93.74635649,-112.3598501,4.65981024,4.64523856,-1,-1
93.09527894,-111.600839,4.66058601,4.64737154,-1,-1
92.44362029,-110.8423266,4.66113467,4.6470693,-1,-1
91.79389602,-110.0821563,4.6630645,4.64511361,-1,-1
91.14861438,-109.3182119,4.66365747,4.64390726,-1,-1
90.50835263,-108.5500553,4.66131862,4.64522709,-1,-1
89.87170871,-107.7788973,4.66233559,4.64869907,-1,-1
89.23690275,-107.0062256,4.66577699,4.65321537,-1,-1
88.60304161,-106.2327788,4.67016027,4.65842574,-1,-1
87.9700344,-105.4586328,4.67516396,4.66473481,-1,-1
87.33819627,-104.6835326,4.68126628,4.67247957,-1,-1
86.70639932,-103.9083987,4.68965142,4.68040361,-1,-1
86.07214742,-103.1352714,4.69882272,4.68585913,-1,-1
85.43275168,-102.3663949,4.70576093,4.68615589,-1,-1
84.78859096,-101.6015044,4.69919857,4.68169178,-1,-1
84.14231541,-100.8384,4.69266896,4.67502198,-1,-1
83.49688837,-100.0745783,4.68802411,4.66839479,-1,-1
82.85330059,-99.30920597,4.68316735,4.66205465,-1,-1
82.211038,-98.5427213,4.67696876,4.65528584,-1,-1
81.56922458,-97.77586045,4.66945267,4.64774357,-1,-1
80.92753815,-97.00889336,4.66154894,4.63963184,-1,-1
80.28610956,-96.2417106,4.65376756,4.63141977,-1,-1
79.64506818,-95.4742043,4.64597977,4.62337329,-1,-1
79.00407788,-94.70665531,4.63745811,4.61529298,-1,-1
78.36249789,-93.93959916,4.62796165,4.60670864,-1,-1
77.72011618,-93.17321439,4.61876399,4.5976147,-1,-1
77.07801665,-92.40659299,4.61243308,4.58928518,-1,-1
76.43816299,-91.63809613,4.60616056,4.58320105,-1,-1
75.80195493,-90.86657886,4.5991793,4.57964052,-1,-1
75.16894889,-90.09243206,4.5952335,4.57720088,-1,-1
74.53684229,-89.31755048,4.59331864,4.57565667,-1,-1
73.90262544,-88.54439502,4.59339585,4.57672647,-1,-1
73.26383978,-87.77501054,4.59692365,4.5822919,-1,-1
72.62017229,-87.00970574,4.60437012,4.59117995,-1,-1
71.97416125,-86.24637724,4.6133566,4.60080778,-1,-1
71.32923554,-85.48213196,4.62183412,4.61011059,-1,-1
70.6871478,-84.71550113,4.6301321,4.62029205,-1,-1
70.04708534,-83.94717809,4.64028528,4.63203546,-1,-1
69.40738942,-83.17855,4.65242223,4.64476789,-1,-1
68.76711524,-82.41040359,4.66544027,4.65739319,-1,-1
68.12639938,-81.64262549,4.67796942,4.66952273,-1,-1
67.48568076,-80.87484971,4.68992213,4.68133714,-1,-1
66.84506352,-80.10698934,4.70168162,4.69331286,-1,-1
66.20440242,-79.33916556,4.71373122,4.70577819,-1,-1
65.56367545,-78.57139674,4.72622775,4.71863019,-1,-1
64.92321105,-77.80340888,4.73883986,4.73090587,-1,-1
64.28327716,-77.03497892,4.75069904,4.74147016,-1,-1
63.64380473,-76.26616489,4.76086509,4.74973569,-1,-1
63.00367458,-75.49789845,4.76937655,4.75536324,-1,-1
62.36117601,-74.73161117,4.77571755,4.75740733,-1,-1
61.71478796,-73.968603,4.76911834,4.75475252,-1,-1
61.06523041,-73.20829037,4.76079212,4.74829487,-1,-1
60.41463906,-72.44886224,4.75358949,4.74058694,-1,-1
59.76478455,-71.68880377,4.74784209,4.73376448,-1,-1
59.11553907,-70.92822476,4.74182501,4.72788219,-1,-1
58.465896,-70.16798543,4.73503689,4.72184752,-1,-1
57.81570718,-69.40821281,4.72839931,4.71503903,-1,-1
57.16619394,-68.64786238,4.72356572,4.70813577,-1,-1
56.51900806,-67.88553027,4.72083474,4.70229171,-1,-1
55.87479811,-67.12068162,4.71839626,4.69717638,-1,-1
55.23315053,-66.353682,4.71406238,4.69113694,-1,-1
54.59333975,-65.58514953,4.7067489,4.68286744,-1,-1
53.95456097,-64.81575906,4.69754881,4.67323614,-1,-1
53.31611298,-64.04609408,4.688036,4.66363369,-1,-1
52.67751858,-63.27655059,4.67909703,4.65484549,-1,-1
52.03862372,-62.50725652,4.67026851,4.64634992,-1,-1
51.3993223,-61.73830029,4.66098179,4.63751952,-1,-1
50.75968159,-60.96962628,4.65167902,4.62806605,-1,-1
50.12048891,-60.20057959,4.64377685,4.61870016,-1,-1
49.4828877,-59.43021302,4.6350235,4.61062498,-1,-1
48.84724018,-58.65823369,4.62671051,4.60469264,-1,-1
48.21253778,-57.88547696,4.62117625,4.60060553,-1,-1
47.57737089,-57.113102,4.61775733,4.59765388,-1,-1
46.9405881,-56.34205884,4.61572422,4.5960102,-1,-1
46.30153516,-55.57289595,4.61518531,4.59668012,-1,-1
45.65981694,-54.80595567,4.61718477,4.60022563,-1,-1
45.01610165,-54.04069054,4.62136551,4.60519575,-1,-1
44.37166598,-53.2760319,4.6263309,4.61004479,-1,-1
43.72703256,-52.51154051,4.63127965,4.61536291,-1,-1
43.07975406,-51.74928522,4.63881568,4.62528603,-1,-1
42.42575041,-50.99279582,4.65009497,4.6419485,-1,-1
41.76542428,-50.24181647,4.6650914,4.65878414,-1,-1
41.10680021,-49.48934606,4.67769993,4.66527129,-1,-1
40.45786397,-48.7284931,4.68088413,4.65702492,-1,-1
39.82337249,-47.95559806,4.66800751,4.64488529,-1,-1
39.06721371,-47.03152792,4.62449994,4.62449994,-1,-1
39.06721371,-47.03152792,4.62449994,4.62449994,-1,-1
38.43955432,-46.25303984,4.60802,4.60802667,-1,-1
37.8136428,-45.47313923,4.58941401,4.59008254,-1,-1
37.17021333,-44.7076431,4.58794891,4.58785467,-1,-1
36.52573858,-43.94301482,4.58677762,4.58691555,-1,-1
35.88128711,-43.17837033,4.58529363,4.58536975,-1,-1
35.23702325,-42.41356684,4.58412156,4.58419159,-1,-1
34.5929781,-41.64857941,4.58312712,4.58319458,-1,-1
33.94854001,-40.8839229,4.58166898,4.58179397,-1,-1
33.30310957,-40.12010386,4.57917267,4.57935311,-1,-1
32.65756114,-39.35638455,4.57668075,4.57680152,-1,-1
