x,y,wl,wr,slope,friction_coefficient
352.39018570,-128.47865420,5.17349954,5.16765673,-1.00000000,-1.00000000
353.36901340,-128.68328740,5.19618377,5.19021055,-1.00000000,-1.00000000
354.34912910,-128.88171810,5.20377880,5.19971088,-1.00000000,-1.00000000
355.33134470,-129.06947180,5.19675998,5.19462421,-1.00000000,-1.00000000
356.31497460,-129.24967770,5.18481447,5.18366797,-1.00000000,-1.00000000
357.29879550,-129.42882820,5.17580832,5.17426589,-1.00000000,-1.00000000
358.28214110,-129.61057610,5.17024427,5.16831960,-1.00000000,-1.00000000
359.26526490,-129.79351720,5.16512542,5.16308127,-1.00000000,-1.00000000
360.24842680,-129.97625350,5.15884930,5.15695380,-1.00000000,-1.00000000
361.23174650,-130.15813940,5.15184335,5.15011700,-1.00000000,-1.00000000
362.21518630,-130.33937420,5.14511154,5.14356617,-1.00000000,-1.00000000
363.19876380,-130.51986090,5.13936746,5.13812376,-1.00000000,-1.00000000
364.18258330,-130.69902350,5.13503572,5.13429580,-1.00000000,-1.00000000
365.16677930,-130.87610540,5.13241758,5.13232587,-1.00000000,-1.00000000
366.15134400,-131.05112680,5.13136988,5.13168867,-1.00000000,-1.00000000
367.13608050,-131.22517830,5.13106365,5.13146513,-1.00000000,-1.00000000
368.12079210,-131.39937070,5.13070823,5.13095120,-1.00000000,-1.00000000
369.10540710,-131.57410890,5.12996829,5.13011686,-1.00000000,-1.00000000
370.08999450,-131.74900230,5.12903712,5.12919958,-1.00000000,-1.00000000
371.07461800,-131.92369210,5.12805784,5.12830001,-1.00000000,-1.00000000
372.05929120,-132.09810120,5.12706672,5.12734543,-1.00000000,-1.00000000
373.04397360,-132.27245910,5.12599244,5.12624715,-1.00000000,-1.00000000
374.02863450,-132.44693780,5.12482670,5.12504910,-1.00000000,-1.00000000
375.01329130,-132.62144020,5.12369979,5.12396643,-1.00000000,-1.00000000
375.99799740,-132.79566380,5.12281686,5.12320973,-1.00000000,-1.00000000
376.98281290,-132.96926800,5.12239806,5.12302829,-1.00000000,-1.00000000
377.96780980,-133.14184020,5.12277830,5.12376384,-1.00000000,-1.00000000
378.95306460,-133.31293350,5.12438776,5.12584853,-1.00000000,-1.00000000
379.93859440,-133.48243610,5.12741248,5.12924717,-1.00000000,-1.00000000
380.92430060,-133.65090930,5.13134691,5.13335036,-1.00000000,-1.00000000
381.91005910,-133.81907640,5.13536534,5.13734215,-1.00000000,-1.00000000
382.89580190,-133.98733550,5.13887380,5.14081910,-1.00000000,-1.00000000
383.88158130,-134.15537990,5.14167867,5.14373596,-1.00000000,-1.00000000
384.86751080,-134.32254170,5.14366346,5.14598816,-1.00000000,-1.00000000
385.85368420,-134.48825800,5.14460959,5.14727262,-1.00000000,-1.00000000
386.84008800,-134.65259800,5.14458717,5.14744980,-1.00000000,-1.00000000
387.82658750,-134.81636250,5.14402077,5.14689333,-1.00000000,-1.00000000
388.81306670,-134.98024890,5.14343076,5.14624434,-1.00000000,-1.00000000
389.79951600,-135.14431520,5.14320365,5.14605487,-1.00000000,-1.00000000
390.78601390,-135.30808910,5.14357587,5.14657680,-1.00000000,-1.00000000
391.77256090,-135.47156690,5.14438198,5.14734530,-1.00000000,-1.00000000
392.75901660,-135.63559490,5.14457668,5.14720931,-1.00000000,-1.00000000
393.74521540,-135.80116010,5.14277305,5.14480994,-1.00000000,-1.00000000
394.73108500,-135.96867520,5.13854459,5.14006916,-1.00000000,-1.00000000
395.71665230,-136.13795910,5.13347521,5.13456866,-1.00000000,-1.00000000
396.70189180,-136.30914040,5.12984146,5.13055026,-1.00000000,-1.00000000
397.68676940,-136.48239190,5.12886173,5.12916364,-1.00000000,-1.00000000
398.67130210,-136.65759320,5.12999427,5.12995728,-1.00000000,-1.00000000
399.65557500,-136.83424750,5.13222347,5.13192426,-1.00000000,-1.00000000
400.63967210,-137.01187920,5.13488837,5.13443191,-1.00000000,-1.00000000
401.62367700,-137.19002070,5.13776573,5.13725083,-1.00000000,-1.00000000
402.60766780,-137.36823970,5.14072972,5.14025294,-1.00000000,-1.00000000
403.59169260,-137.54627110,5.14365905,5.14322006,-1.00000000,-1.00000000
404.57573920,-137.72418200,5.14640643,5.14596580,-1.00000000,-1.00000000
405.55978180,-137.90211530,5.14879731,5.14831843,-1.00000000,-1.00000000
406.54380870,-138.08013480,5.15102872,5.15054496,-1.00000000,-1.00000000
407.52783330,-138.25816750,5.15382693,5.15339774,-1.00000000,-1.00000000
408.51187720,-138.43609320,5.15798138,5.15769024,-1.00000000,-1.00000000
409.49605820,-138.61325900,5.16312414,5.16322188,-1.00000000,-1.00000000
410.48062600,-138.78826330,5.16767096,5.16843828,-1.00000000,-1.00000000
411.46581680,-138.95972370,5.17004073,5.17169186,-1.00000000,-1.00000000
412.45166960,-139.12733770,5.16994073,5.17229335,-1.00000000,-1.00000000
413.43798430,-139.29221100,5.16806881,5.17086752,-1.00000000,-1.00000000
414.42456530,-139.45548370,5.16508269,5.16809572,-1.00000000,-1.00000000
415.41127360,-139.61798530,5.16144761,5.16456812,-1.00000000,-1.00000000
416.39803560,-139.78016020,5.15756584,5.16070583,-1.00000000,-1.00000000
417.38478650,-139.94240310,5.15379875,5.15689852,-1.00000000,-1.00000000
418.37150520,-140.10484140,5.15020678,5.15328309,-1.00000000,-1.00000000
419.35821270,-140.26734740,5.14666228,5.14974003,-1.00000000,-1.00000000
420.34492580,-140.42982020,5.14307606,5.14616894,-1.00000000,-1.00000000
421.33164720,-140.59224210,5.13944838,5.14254700,-1.00000000,-1.00000000
422.31836690,-140.75467400,5.13583600,5.13892835,-1.00000000,-1.00000000
423.30507910,-140.91715210,5.13226212,5.13534843,-1.00000000,-1.00000000
424.29179040,-141.07963550,5.12867858,5.13177761,-1.00000000,-1.00000000
425.27851890,-141.24201370,5.12499001,5.12812471,-1.00000000,-1.00000000
426.26527130,-141.40424770,5.12119783,5.12435090,-1.00000000,-1.00000000
427.25201360,-141.56654260,5.11751529,5.12061644,-1.00000000,-1.00000000
428.23868960,-141.72924010,5.11422113,5.11720163,-1.00000000,-1.00000000
429.22523290,-141.89274020,5.11167707,5.11442649,-1.00000000,-1.00000000
430.21154240,-142.05764530,5.11039612,5.11276911,-1.00000000,-1.00000000
431.19748660,-142.22471920,5.11099877,5.11283617,-1.00000000,-1.00000000
432.18300570,-142.39428410,5.11354250,5.11491916,-1.00000000,-1.00000000
433.16823320,-142.56553480,5.11723774,5.11841251,-1.00000000,-1.00000000
434.15339860,-142.73714230,5.12104030,5.12228154,-1.00000000,-1.00000000
435.13865420,-142.90823110,5.12442924,5.12579452,-1.00000000,-1.00000000
436.12398530,-143.07888460,5.12750664,5.12890382,-1.00000000,-1.00000000
437.10931300,-143.24955770,5.13050102,5.13183805,-1.00000000,-1.00000000
438.09458230,-143.42056750,5.13345469,5.13468010,-1.00000000,-1.00000000
439.07976800,-143.59205880,5.13618934,5.13726628,-1.00000000,-1.00000000
440.06484810,-143.76415480,5.13844656,5.13933260,-1.00000000,-1.00000000
441.04981260,-143.93691220,5.14010107,5.14081904,-1.00000000,-1.00000000
442.03469500,-144.11013650,5.14133001,5.14197143,-1.00000000,-1.00000000
443.01955660,-144.28347900,5.14246198,5.14312123,-1.00000000,-1.00000000
444.00443920,-144.45670170,5.14371032,5.14441196,-1.00000000,-1.00000000
444.98934370,-144.62980080,5.14505978,5.14578037,-1.00000000,-1.00000000
445.97425390,-144.80286690,5.14640950,5.14712628,-1.00000000,-1.00000000
446.95916190,-144.97594560,5.14770213,5.14841447,-1.00000000,-1.00000000
447.94407110,-145.14901740,5.14894371,5.14966134,-1.00000000,-1.00000000
448.92898820,-145.32204440,5.15015699,5.15088874,-1.00000000,-1.00000000
449.91391610,-145.49500970,5.15134548,5.15208902,-1.00000000,-1.00000000
450.89885240,-145.66792700,5.15248293,5.15323260,-1.00000000,-1.00000000
451.88379370,-145.84081620,5.15354622,5.15429592,-1.00000000,-1.00000000
452.86873370,-146.01371270,5.15460668,5.15535050,-1.00000000,-1.00000000
453.85366270,-146.18667190,5.15583986,5.15657162,-1.00000000,-1.00000000
454.83857310,-146.35973680,5.15736371,5.15808217,-1.00000000,-1.00000000
455.82347910,-146.53282710,5.15888051,5.15960920,-1.00000000,-1.00000000
456.80842250,-146.70570400,5.15968574,5.16045568,-1.00000000,-1.00000000
457.79343530,-146.87818540,5.15942521,5.16025002,-1.00000000,-1.00000000
458.77846740,-147.05055660,5.15937874,5.16017744,-1.00000000,-1.00000000
459.76334740,-147.22379390,5.16221898,5.16284779,-1.00000000,-1.00000000
460.74802220,-147.39819460,5.16915784,5.16990982,-1.00000000,-1.00000000
461.73310550,-147.57027910,5.17653428,5.17870456,-1.00000000,-1.00000000
462.71981260,-147.73278200,5.17766417,5.18274637,-1.00000000,-1.00000000
