x,y,wl,wr,slope,friction_coefficient
113.26473180,83.70950355,4.41338038,4.39319424,-1.00000000,-1.00000000
114.01684140,83.05047487,4.41630097,4.40346771,-1.00000000,-1.00000000
114.76826700,82.39065651,4.43022319,4.41692083,-1.00000000,-1.00000000
115.52309470,81.73473280,4.44494612,4.42901448,-1.00000000,-1.00000000
116.27979290,81.08096847,4.45748905,4.44078942,-1.00000000,-1.00000000
117.03683870,80.42760671,4.46942263,4.45284814,-1.00000000,-1.00000000
117.79381610,79.77416562,4.48141121,4.46465177,-1.00000000,-1.00000000
118.55106950,79.12104450,4.49269801,4.47508915,-1.00000000,-1.00000000
119.30860300,78.46824822,4.50205498,4.48355502,-1.00000000,-1.00000000
120.06613380,77.81544880,4.50933912,4.49021757,-1.00000000,-1.00000000
120.82362020,77.16259783,4.51511440,4.49560260,-1.00000000,-1.00000000
121.58101750,76.50964352,4.51991042,4.50025772,-1.00000000,-1.00000000
122.33823810,75.85648424,4.52421630,4.50467395,-1.00000000,-1.00000000
123.09509830,75.20290745,4.52840291,4.50930949,-1.00000000,-1.00000000
123.85131110,74.54858164,4.53294698,4.51473712,-1.00000000,-1.00000000
124.60650120,73.89307599,4.53836881,4.52152501,-1.00000000,-1.00000000
125.36102740,73.23680584,4.54575084,4.52920710,-1.00000000,-1.00000000
126.11695700,72.58215274,4.55410903,4.53522998,-1.00000000,-1.00000000
126.87638880,71.93156684,4.56032279,4.53694261,-1.00000000,-1.00000000
127.63949020,71.28528729,4.55903622,4.53399648,-1.00000000,-1.00000000
128.40401170,70.64068925,4.55435473,4.52904283,-1.00000000,-1.00000000
129.16800010,69.99545932,4.55143245,4.52443377,-1.00000000,-1.00000000
129.93094830,69.34899966,4.54704653,4.52079332,-1.00000000,-1.00000000
130.69352020,68.70209624,4.54347644,4.51725866,-1.00000000,-1.00000000
131.45606990,68.05516654,4.53964689,4.51313420,-1.00000000,-1.00000000
132.21831270,67.40787540,4.53476882,4.50820234,-1.00000000,-1.00000000
132.97990340,66.75981702,4.52908188,4.50279975,-1.00000000,-1.00000000
133.74146250,66.11172144,4.52416845,4.49812805,-1.00000000,-1.00000000
134.50445010,65.46530862,4.52192862,4.49580163,-1.00000000,-1.00000000
135.26980830,64.82170393,4.52307522,4.49668780,-1.00000000,-1.00000000
136.03679600,64.18004209,4.52621628,4.49970211,-1.00000000,-1.00000000
136.80397350,63.53860725,4.52950188,4.50310833,-1.00000000,-1.00000000
137.57048300,62.89637428,4.53208097,4.50589068,-1.00000000,-1.00000000
138.33665010,62.25373290,4.53448565,4.50832195,-1.00000000,-1.00000000
139.10306870,61.61139146,4.53710826,4.51069545,-1.00000000,-1.00000000
139.87000460,60.96966769,4.53950273,4.51289744,-1.00000000,-1.00000000
140.63721530,60.32827260,4.54035241,4.51438180,-1.00000000,-1.00000000
141.40435390,59.68679123,4.54012834,4.51469482,-1.00000000,-1.00000000
