alphas_left,alphas_right
0.000000000000000000e+00,8.369281161733230778e-01
0.000000000000000000e+00,8.669830681027543839e-01
0.000000000000000000e+00,8.970380200321856901e-01
0.000000000000000000e+00,9.106023996406835685e-01
0.000000000000000000e+00,9.132561345377494533e-01
0.000000000000000000e+00,9.159098694348153380e-01
0.000000000000000000e+00,9.185636043318812227e-01
0.000000000000000000e+00,9.212173392289471074e-01
0.000000000000000000e+00,9.238710741260129922e-01
0.000000000000000000e+00,9.265248090230788769e-01
0.000000000000000000e+00,9.291785439201447616e-01
0.000000000000000000e+00,9.318322788172106463e-01
0.000000000000000000e+00,9.344860137142765311e-01
0.000000000000000000e+00,9.371397486113424158e-01
0.000000000000000000e+00,9.397934835084083005e-01
0.000000000000000000e+00,9.424472184054741852e-01
0.000000000000000000e+00,9.451009533025400700e-01
0.000000000000000000e+00,9.477546881996059547e-01
0.000000000000000000e+00,9.504084230966718394e-01
0.000000000000000000e+00,9.530621579937377241e-01
0.000000000000000000e+00,9.557158928908036089e-01
0.000000000000000000e+00,9.583696277878694936e-01
0.000000000000000000e+00,9.610233626849353783e-01
0.000000000000000000e+00,9.636770975820012630e-01
0.000000000000000000e+00,9.663308324790671477e-01
0.000000000000000000e+00,9.689845673761330325e-01
0.000000000000000000e+00,9.716383022731989172e-01
0.000000000000000000e+00,9.742920371702648019e-01
0.000000000000000000e+00,9.769457720673306866e-01
0.000000000000000000e+00,9.795995069643965714e-01
0.000000000000000000e+00,9.822532418614624561e-01
0.000000000000000000e+00,9.849069767585283408e-01
0.000000000000000000e+00,9.875607116555942255e-01
0.000000000000000000e+00,9.902144465526601103e-01
0.000000000000000000e+00,9.928681814497259950e-01
0.000000000000000000e+00,9.955219163467918797e-01
0.000000000000000000e+00,9.981756512438577644e-01
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00
