x,y,wl,wr,slope,friction_coefficient
662.86078770,-197.67148810,4.90972324,4.92787501,-1.00000000,-1.00000000
661.86157970,-197.71176190,4.88483913,4.89779685,-1.00000000,-1.00000000
660.86192080,-197.73754530,4.85937048,4.86520142,-1.00000000,-1.00000000
659.86217950,-197.76042560,4.83217025,4.84220605,-1.00000000,-1.00000000
658.86254600,-197.78746380,4.80483829,4.81586151,-1.00000000,-1.00000000
657.86301910,-197.81822630,4.77819942,4.78992892,-1.00000000,-1.00000000
656.86350650,-197.84944220,4.75197029,4.76422749,-1.00000000,-1.00000000
655.86395700,-197.87945650,4.72574568,4.73792411,-1.00000000,-1.00000000
654.86437230,-197.90827310,4.69972381,4.71134726,-1.00000000,-1.00000000
653.86476360,-197.93624760,4.67428925,4.68497346,-1.00000000,-1.00000000
652.86514250,-197.96377190,4.64958552,4.65918579,-1.00000000,-1.00000000
651.86552460,-197.99141370,4.62572582,4.63416980,-1.00000000,-1.00000000
650.86592450,-198.01969240,4.60290978,4.61017479,-1.00000000,-1.00000000
649.86633880,-198.04847530,4.58085991,4.58740025,-1.00000000,-1.00000000
648.86675560,-198.07734210,4.55904978,4.56539333,-1.00000000,-1.00000000
647.86716530,-198.10596570,4.53699938,4.54355120,-1.00000000,-1.00000000
646.86757100,-198.13444540,4.51466858,4.52140749,-1.00000000,-1.00000000
645.86797830,-198.16298420,4.49212377,4.49901479,-1.00000000,-1.00000000
644.86839160,-198.19173380,4.46966546,4.47647522,-1.00000000,-1.00000000
643.86880570,-198.22050920,4.44763115,4.45404763,-1.00000000,-1.00000000
642.86921020,-198.24894910,4.42628299,4.43196990,-1.00000000,-1.00000000
641.86959810,-198.27679980,4.40465262,4.41036574,-1.00000000,-1.00000000
640.86999160,-198.30485090,4.38135061,4.38847421,-1.00000000,-1.00000000
639.87042780,-198.33438530,4.35570683,4.36525327,-1.00000000,-1.00000000
638.87092470,-198.36590270,4.33188132,4.34045088,-1.00000000,-1.00000000
637.87137530,-198.39591830,4.31508507,4.31728207,-1.00000000,-1.00000000
636.87165530,-198.41959880,4.29907032,4.29967585,-1.00000000,-1.00000000
635.87176260,-198.43420930,4.28250742,4.28950970,-1.00000000,-1.00000000
634.87180200,-198.44309930,4.27344400,4.28341348,-1.00000000,-1.00000000
633.87183340,-198.45103520,4.26763569,4.27740554,-1.00000000,-1.00000000
632.87188330,-198.46101540,4.26125607,4.26932294,-1.00000000,-1.00000000
631.87195130,-198.47268130,4.25317426,4.26023342,-1.00000000,-1.00000000
630.87202840,-198.48509900,4.24502753,4.25155884,-1.00000000,-1.00000000
629.87210830,-198.49773790,4.23778971,4.24405642,-1.00000000,-1.00000000
628.87219200,-198.51067440,4.23149682,4.23739385,-1.00000000,-1.00000000
627.87228170,-198.52406800,4.22554730,4.23105322,-1.00000000,-1.00000000
626.87237590,-198.53779810,4.21955407,4.22485566,-1.00000000,-1.00000000
625.87246970,-198.55149580,4.21350121,4.21891384,-1.00000000,-1.00000000
624.87255800,-198.56478410,4.20754729,4.21334703,-1.00000000,-1.00000000
623.87263690,-198.57734280,4.20190094,4.20831067,-1.00000000,-1.00000000
622.87270330,-198.58886460,4.19681773,4.20405954,-1.00000000,-1.00000000
621.87275590,-198.59912860,4.19263848,4.20077483,-1.00000000,-1.00000000
620.87280020,-198.60854040,4.18953583,4.19813173,-1.00000000,-1.00000000
619.87284280,-198.61776650,4.18714563,4.19570736,-1.00000000,-1.00000000
618.87288810,-198.62728440,4.18488881,4.19320486,-1.00000000,-1.00000000
617.87293390,-198.63685870,4.18221569,4.19064450,-1.00000000,-1.00000000
616.87297610,-198.64603850,4.17900749,4.18791046,-1.00000000,-1.00000000
615.87301270,-198.65459230,4.17534928,4.18482646,-1.00000000,-1.00000000
614.87304530,-198.66267520,4.17144724,4.18129515,-1.00000000,-1.00000000
613.87307600,-198.67051460,4.16738526,4.17742038,-1.00000000,-1.00000000
612.87310610,-198.67826820,4.16320314,4.17331411,-1.00000000,-1.00000000
611.87313570,-198.68596290,4.15894814,4.16912154,-1.00000000,-1.00000000
610.87316480,-198.69359660,4.15474565,4.16496716,-1.00000000,-1.00000000
609.87319360,-198.70117690,4.15067151,4.16091874,-1.00000000,-1.00000000
608.87322300,-198.70884270,4.14664654,4.15680331,-1.00000000,-1.00000000
607.87325450,-198.71677990,4.14240006,4.15235860,-1.00000000,-1.00000000
606.87328800,-198.72497190,4.13775015,4.14761460,-1.00000000,-1.00000000
605.87331880,-198.73282230,4.13303136,4.14329114,-1.00000000,-1.00000000
604.87334180,-198.73960110,4.12914641,4.14028616,-1.00000000,-1.00000000
603.87335450,-198.74462950,4.12659528,4.13909574,-1.00000000,-1.00000000
602.87335910,-198.74768870,4.12502250,4.13909501,-1.00000000,-1.00000000
601.87335960,-198.74867650,4.12349025,4.13927462,-1.00000000,-1.00000000
600.87335980,-198.74807090,4.12172660,4.13783650,-1.00000000,-1.00000000
599.87336070,-198.74675130,4.11996026,4.13622167,-1.00000000,-1.00000000
598.87336130,-198.74559870,4.11847073,4.13496463,-1.00000000,-1.00000000
597.87336160,-198.74484010,4.11712798,4.13367918,-1.00000000,-1.00000000
596.87336180,-198.74419750,4.11573028,4.13216406,-1.00000000,-1.00000000
595.87336220,-198.74337430,4.11419685,4.13055946,-1.00000000,-1.00000000
594.87336260,-198.74245090,4.11266189,4.12915934,-1.00000000,-1.00000000
593.87336280,-198.74175820,4.11131979,4.12802174,-1.00000000,-1.00000000
592.87336280,-198.74163550,4.11032094,4.12644404,-1.00000000,-1.00000000
591.87336310,-198.74239010,4.10997875,4.12521780,-1.00000000,-1.00000000
590.87336500,-198.74431980,4.11080877,4.12483773,-1.00000000,-1.00000000
589.87337090,-198.74774560,4.11336089,4.12587695,-1.00000000,-1.00000000
588.87338330,-198.75274280,4.11726954,4.12838593,-1.00000000,-1.00000000
587.87340390,-198.75916150,4.12131475,4.13135523,-1.00000000,-1.00000000
586.87343230,-198.76669030,4.12420420,4.13361343,-1.00000000,-1.00000000
585.87346490,-198.77477000,4.12564677,4.13486404,-1.00000000,-1.00000000
584.87349790,-198.78289210,4.12641314,4.13571481,-1.00000000,-1.00000000
583.87352900,-198.79078220,4.12729072,4.13674843,-1.00000000,-1.00000000
582.87355930,-198.79856680,4.12855430,4.13801648,-1.00000000,-1.00000000
581.87359010,-198.80641110,4.12994110,4.13932951,-1.00000000,-1.00000000
580.87362150,-198.81433910,4.13123729,4.14058293,-1.00000000,-1.00000000
