alphas_left,alphas_right
0.000000000000000000e+00,5.323167043258956177e-01
0.000000000000000000e+00,5.276934896002506425e-01
0.000000000000000000e+00,5.230702748746056674e-01
0.000000000000000000e+00,5.184470601489606922e-01
0.000000000000000000e+00,5.138238454233157171e-01
0.000000000000000000e+00,5.092006306976707419e-01
0.000000000000000000e+00,5.045774159720257668e-01
0.000000000000000000e+00,4.999542012463807916e-01
0.000000000000000000e+00,4.953309865207358165e-01
0.000000000000000000e+00,4.907077717950908413e-01
0.000000000000000000e+00,4.860845570694458662e-01
0.000000000000000000e+00,4.814613423438008910e-01
0.000000000000000000e+00,4.768381276181559159e-01
0.000000000000000000e+00,4.722149128925109407e-01
0.000000000000000000e+00,4.675916981668659655e-01
0.000000000000000000e+00,4.629684834412209904e-01
0.000000000000000000e+00,4.583452687155760152e-01
0.000000000000000000e+00,4.537220539899310401e-01
0.000000000000000000e+00,4.490988392642860649e-01
0.000000000000000000e+00,4.444756245386410898e-01
0.000000000000000000e+00,4.398524098129961146e-01
0.000000000000000000e+00,4.352291950873511395e-01
0.000000000000000000e+00,4.306059803617061643e-01
0.000000000000000000e+00,4.259827656360611892e-01
0.000000000000000000e+00,4.213595509104162140e-01
0.000000000000000000e+00,4.167363361847712389e-01
0.000000000000000000e+00,4.121131214591262637e-01
0.000000000000000000e+00,4.074899067334812885e-01
0.000000000000000000e+00,4.028666920078363134e-01
0.000000000000000000e+00,3.982434772821913382e-01
0.000000000000000000e+00,3.936202625565463631e-01
0.000000000000000000e+00,3.889970478309013879e-01
0.000000000000000000e+00,3.843738331052564128e-01
0.000000000000000000e+00,3.797506183796114376e-01
0.000000000000000000e+00,3.751274036539664625e-01
0.000000000000000000e+00,3.705041889283214873e-01
0.000000000000000000e+00,3.658809742026765122e-01
0.000000000000000000e+00,3.612577594770315370e-01
0.000000000000000000e+00,3.566345447513865619e-01
0.000000000000000000e+00,3.520113300257415867e-01
0.000000000000000000e+00,3.473881153000966115e-01
0.000000000000000000e+00,3.427649005744516364e-01
0.000000000000000000e+00,3.381416858488066612e-01
0.000000000000000000e+00,3.335184711231616861e-01
0.000000000000000000e+00,3.288952563975167109e-01
0.000000000000000000e+00,3.242720416718717358e-01
0.000000000000000000e+00,3.196488269462267606e-01
0.000000000000000000e+00,3.150256122205817855e-01
0.000000000000000000e+00,3.104023974949368103e-01
0.000000000000000000e+00,3.057791827692918352e-01
0.000000000000000000e+00,3.011559680436468600e-01
0.000000000000000000e+00,2.965327533180018849e-01
0.000000000000000000e+00,2.919095385923569097e-01
0.000000000000000000e+00,2.872863238667119345e-01
0.000000000000000000e+00,2.826631091410669594e-01
0.000000000000000000e+00,2.780398944154219842e-01
0.000000000000000000e+00,2.734166796897770091e-01
0.000000000000000000e+00,2.687934649641320339e-01
0.000000000000000000e+00,2.641702502384870588e-01
0.000000000000000000e+00,2.595470355128420836e-01
0.000000000000000000e+00,2.549238207871971085e-01
0.000000000000000000e+00,2.503006060615521333e-01
0.000000000000000000e+00,2.456773913359071582e-01
0.000000000000000000e+00,2.410541766102621830e-01
0.000000000000000000e+00,2.364309618846172079e-01
0.000000000000000000e+00,2.318077471589722327e-01
0.000000000000000000e+00,2.271845324333272576e-01
0.000000000000000000e+00,2.225613177076822824e-01
0.000000000000000000e+00,2.179381029820373072e-01
0.000000000000000000e+00,2.133148882563923321e-01
0.000000000000000000e+00,2.086916735307473569e-01
0.000000000000000000e+00,2.040684588051023818e-01
0.000000000000000000e+00,1.994452440794574066e-01
0.000000000000000000e+00,1.948220293538124315e-01
0.000000000000000000e+00,1.901988146281674563e-01
0.000000000000000000e+00,1.855755999025224812e-01
0.000000000000000000e+00,1.809523851768775060e-01
0.000000000000000000e+00,1.763291704512325309e-01
0.000000000000000000e+00,1.717059557255875557e-01
0.000000000000000000e+00,1.670827409999425806e-01
0.000000000000000000e+00,1.624595262742976054e-01
0.000000000000000000e+00,1.578363115486526302e-01
0.000000000000000000e+00,1.532130968230076551e-01
0.000000000000000000e+00,1.485898820973626799e-01
0.000000000000000000e+00,1.439666673717177048e-01
0.000000000000000000e+00,1.393434526460727296e-01
0.000000000000000000e+00,1.347202379204277545e-01
0.000000000000000000e+00,1.300970231947827793e-01
0.000000000000000000e+00,1.254738084691378042e-01
0.000000000000000000e+00,1.208505937434928290e-01
0.000000000000000000e+00,1.162273790178478539e-01
0.000000000000000000e+00,1.116041642922028787e-01
0.000000000000000000e+00,1.069809495665579036e-01
0.000000000000000000e+00,1.023577348409129284e-01
0.000000000000000000e+00,9.773452011526795324e-02
0.000000000000000000e+00,9.311130538962297809e-02
0.000000000000000000e+00,8.848809066397800294e-02
0.000000000000000000e+00,8.386487593833302778e-02
0.000000000000000000e+00,7.924166121268805263e-02
0.000000000000000000e+00,7.461844648704307748e-02
0.000000000000000000e+00,6.999523176139810232e-02
0.000000000000000000e+00,6.537201703575312717e-02
0.000000000000000000e+00,6.074880231010815201e-02
0.000000000000000000e+00,5.612558758446317686e-02
0.000000000000000000e+00,5.150237285881820171e-02
0.000000000000000000e+00,4.687915813317322655e-02
0.000000000000000000e+00,4.225594340752825140e-02
0.000000000000000000e+00,3.763272868188327624e-02
0.000000000000000000e+00,3.300951395623830109e-02
0.000000000000000000e+00,2.838629923059332594e-02
0.000000000000000000e+00,2.376308450494835078e-02
0.000000000000000000e+00,1.913986977930337563e-02
0.000000000000000000e+00,1.451665505365840048e-02
0.000000000000000000e+00,9.893440328013425322e-03
0.000000000000000000e+00,5.270225602368450168e-03
0.000000000000000000e+00,6.470108767234750147e-04
3.976203848921500139e-03,0.000000000000000000e+00
8.599418574566475293e-03,0.000000000000000000e+00
1.322263330021145045e-02,0.000000000000000000e+00
1.784584802585642560e-02,0.000000000000000000e+00
2.246906275150140075e-02,0.000000000000000000e+00
2.709227747714637591e-02,0.000000000000000000e+00
3.171549220279135106e-02,0.000000000000000000e+00
3.633870692843632622e-02,0.000000000000000000e+00
4.096192165408130137e-02,0.000000000000000000e+00
4.558513637972627652e-02,0.000000000000000000e+00
5.020835110537125168e-02,0.000000000000000000e+00
5.483156583101622683e-02,0.000000000000000000e+00
5.945478055666120198e-02,0.000000000000000000e+00
6.407799528230617714e-02,0.000000000000000000e+00
6.870121000795115229e-02,0.000000000000000000e+00
7.332442473359612745e-02,0.000000000000000000e+00
7.794763945924110260e-02,0.000000000000000000e+00
8.257085418488607775e-02,0.000000000000000000e+00
8.719406891053105291e-02,0.000000000000000000e+00
9.181728363617602806e-02,0.000000000000000000e+00
9.644049836182100321e-02,0.000000000000000000e+00
1.010637130874659784e-01,0.000000000000000000e+00
1.056869278131109535e-01,0.000000000000000000e+00
1.103101425387559287e-01,0.000000000000000000e+00
1.095889475483918796e-01,0.000000000000000000e+00
1.088677525580278305e-01,0.000000000000000000e+00
1.081465575676637814e-01,0.000000000000000000e+00
1.074253625772997323e-01,0.000000000000000000e+00
1.067041675869356832e-01,0.000000000000000000e+00
1.059829725965716340e-01,0.000000000000000000e+00
1.052617776062075849e-01,0.000000000000000000e+00
1.045405826158435358e-01,0.000000000000000000e+00
1.038193876254794867e-01,0.000000000000000000e+00
1.030981926351154376e-01,0.000000000000000000e+00
1.023769976447513885e-01,0.000000000000000000e+00
1.016558026543873394e-01,0.000000000000000000e+00
1.009346076640232903e-01,0.000000000000000000e+00
1.002134126736592412e-01,0.000000000000000000e+00
9.949221768329519211e-02,0.000000000000000000e+00
9.877102269293114301e-02,0.000000000000000000e+00
9.804982770256709390e-02,0.000000000000000000e+00
9.732863271220304480e-02,0.000000000000000000e+00
9.660743772183899569e-02,0.000000000000000000e+00
9.588624273147494659e-02,0.000000000000000000e+00
9.516504774111089748e-02,0.000000000000000000e+00
9.444385275074684838e-02,0.000000000000000000e+00
9.372265776038279927e-02,0.000000000000000000e+00
9.300146277001875017e-02,0.000000000000000000e+00
9.228026777965470107e-02,0.000000000000000000e+00
9.155907278929065196e-02,0.000000000000000000e+00
9.083787779892660286e-02,0.000000000000000000e+00
9.011668280856255375e-02,0.000000000000000000e+00
8.939548781819850465e-02,0.000000000000000000e+00
8.867429282783445554e-02,0.000000000000000000e+00
8.795309783747040644e-02,0.000000000000000000e+00
8.723190284710635733e-02,0.000000000000000000e+00
8.651070785674230823e-02,0.000000000000000000e+00
8.578951286637825913e-02,0.000000000000000000e+00
8.506831787601421002e-02,0.000000000000000000e+00
8.434712288565016092e-02,0.000000000000000000e+00
8.362592789528611181e-02,0.000000000000000000e+00
8.290473290492206271e-02,0.000000000000000000e+00
8.218353791455801360e-02,0.000000000000000000e+00
8.146234292419396450e-02,0.000000000000000000e+00
8.074114793382991540e-02,0.000000000000000000e+00
8.001995294346586629e-02,0.000000000000000000e+00
7.929875795310181719e-02,0.000000000000000000e+00
7.857756296273776808e-02,0.000000000000000000e+00
7.785636797237371898e-02,0.000000000000000000e+00
7.713517298200966987e-02,0.000000000000000000e+00
7.641397799164562077e-02,0.000000000000000000e+00
7.569278300128157166e-02,0.000000000000000000e+00
7.497158801091752256e-02,0.000000000000000000e+00
7.425039302055347346e-02,0.000000000000000000e+00
7.352919803018942435e-02,0.000000000000000000e+00
7.280800303982537525e-02,0.000000000000000000e+00
7.208680804946132614e-02,0.000000000000000000e+00
7.136561305909727704e-02,0.000000000000000000e+00
7.064441806873322793e-02,0.000000000000000000e+00
6.992322307836917883e-02,0.000000000000000000e+00
6.920202808800512972e-02,0.000000000000000000e+00
6.848083309764108062e-02,0.000000000000000000e+00
6.775963810727703152e-02,0.000000000000000000e+00
6.703844311691298241e-02,0.000000000000000000e+00
6.631724812654893331e-02,0.000000000000000000e+00
6.559605313618488420e-02,0.000000000000000000e+00
6.487485814582083510e-02,0.000000000000000000e+00
6.415366315545678599e-02,0.000000000000000000e+00
6.343246816509273689e-02,0.000000000000000000e+00
6.271127317472868778e-02,0.000000000000000000e+00
6.199007818436463868e-02,0.000000000000000000e+00
6.126888319400058958e-02,0.000000000000000000e+00
6.054768820363654047e-02,0.000000000000000000e+00
5.982649321327249137e-02,0.000000000000000000e+00
5.910529822290844226e-02,0.000000000000000000e+00
5.838410323254439316e-02,0.000000000000000000e+00
5.766290824218034405e-02,0.000000000000000000e+00
5.694171325181629495e-02,0.000000000000000000e+00
5.622051826145224585e-02,0.000000000000000000e+00
5.549932327108819674e-02,0.000000000000000000e+00
5.477812828072414764e-02,0.000000000000000000e+00
5.405693329036009853e-02,0.000000000000000000e+00
5.333573829999604943e-02,0.000000000000000000e+00
5.261454330963200032e-02,0.000000000000000000e+00
5.189334831926795122e-02,0.000000000000000000e+00
5.117215332890390211e-02,0.000000000000000000e+00
5.045095833853985301e-02,0.000000000000000000e+00
4.972976334817580391e-02,0.000000000000000000e+00
4.900856835781175480e-02,0.000000000000000000e+00
4.828737336744770570e-02,0.000000000000000000e+00
4.756617837708365659e-02,0.000000000000000000e+00
4.684498338671960749e-02,0.000000000000000000e+00
4.612378839635555838e-02,0.000000000000000000e+00
4.540259340599150928e-02,0.000000000000000000e+00
4.468139841562746017e-02,0.000000000000000000e+00
4.396020342526341107e-02,0.000000000000000000e+00
4.751881456539708282e-02,0.000000000000000000e+00
5.107742570553075456e-02,0.000000000000000000e+00
5.463603684566442631e-02,0.000000000000000000e+00
5.819464798579809806e-02,0.000000000000000000e+00
6.175325912593176980e-02,0.000000000000000000e+00
6.531187026606544155e-02,0.000000000000000000e+00
6.887048140619911329e-02,0.000000000000000000e+00
7.242909254633278504e-02,0.000000000000000000e+00
7.598770368646645679e-02,0.000000000000000000e+00
7.954631482660012853e-02,0.000000000000000000e+00
8.310492596673380028e-02,0.000000000000000000e+00
8.666353710686747203e-02,0.000000000000000000e+00
9.022214824700114377e-02,0.000000000000000000e+00
9.378075938713481552e-02,0.000000000000000000e+00
9.733937052726848727e-02,0.000000000000000000e+00
1.008979816674021590e-01,0.000000000000000000e+00
1.044565928075358308e-01,0.000000000000000000e+00
1.080152039476695025e-01,0.000000000000000000e+00
1.115738150878031743e-01,0.000000000000000000e+00
1.151324262279368460e-01,0.000000000000000000e+00
1.186910373680705177e-01,0.000000000000000000e+00
1.222496485082041895e-01,0.000000000000000000e+00
1.258082596483378612e-01,0.000000000000000000e+00
1.293668707884715330e-01,0.000000000000000000e+00
1.329254819286052047e-01,0.000000000000000000e+00
1.364840930687388765e-01,0.000000000000000000e+00
1.400427042088725482e-01,0.000000000000000000e+00
1.436013153490062200e-01,0.000000000000000000e+00
1.471599264891398917e-01,0.000000000000000000e+00
1.507185376292735635e-01,0.000000000000000000e+00
