alphas_left,alphas_right
8.860985749171298442e-01,0.000000000000000000e+00
8.868118296849492044e-01,0.000000000000000000e+00
8.821891631748586260e-01,0.000000000000000000e+00
8.775664966647680476e-01,0.000000000000000000e+00
8.729438301546774692e-01,0.000000000000000000e+00
8.683211636445868908e-01,0.000000000000000000e+00
8.636984971344963125e-01,0.000000000000000000e+00
8.590758306244057341e-01,0.000000000000000000e+00
8.544531641143151557e-01,0.000000000000000000e+00
8.498304976042245773e-01,0.000000000000000000e+00
8.452078310941339989e-01,0.000000000000000000e+00
8.405851645840434205e-01,0.000000000000000000e+00
8.359624980739528421e-01,0.000000000000000000e+00
8.313398315638622638e-01,0.000000000000000000e+00
8.267171650537716854e-01,0.000000000000000000e+00
8.220944985436811070e-01,0.000000000000000000e+00
8.174718320335905286e-01,0.000000000000000000e+00
8.128491655234999502e-01,0.000000000000000000e+00
8.082264990134093718e-01,0.000000000000000000e+00
8.036038325033187935e-01,0.000000000000000000e+00
7.989811659932282151e-01,0.000000000000000000e+00
7.943584994831376367e-01,0.000000000000000000e+00
7.897358329730470583e-01,0.000000000000000000e+00
7.851131664629564799e-01,0.000000000000000000e+00
7.804904999528659015e-01,0.000000000000000000e+00
7.758678334427753231e-01,0.000000000000000000e+00
7.712451669326847448e-01,0.000000000000000000e+00
7.666225004225941664e-01,0.000000000000000000e+00
7.619998339125035880e-01,0.000000000000000000e+00
7.573771674024130096e-01,0.000000000000000000e+00
7.527545008923224312e-01,0.000000000000000000e+00
7.481318343822318528e-01,0.000000000000000000e+00
7.435091678721412745e-01,0.000000000000000000e+00
7.388865013620506961e-01,0.000000000000000000e+00
7.342638348519601177e-01,0.000000000000000000e+00
7.296411683418695393e-01,0.000000000000000000e+00
7.250185018317789609e-01,0.000000000000000000e+00
7.203958353216883825e-01,0.000000000000000000e+00
7.157731688115978042e-01,0.000000000000000000e+00
7.111505023015072258e-01,0.000000000000000000e+00
7.065278357914166474e-01,0.000000000000000000e+00
7.019051692813260690e-01,0.000000000000000000e+00
6.972825027712354906e-01,0.000000000000000000e+00
6.926598362611449122e-01,0.000000000000000000e+00
6.880371697510543338e-01,0.000000000000000000e+00
6.834145032409637555e-01,0.000000000000000000e+00
6.787918367308731771e-01,0.000000000000000000e+00
6.741691702207825987e-01,0.000000000000000000e+00
6.695465037106920203e-01,0.000000000000000000e+00
6.649238372006014419e-01,0.000000000000000000e+00
6.603011706905108635e-01,0.000000000000000000e+00
6.556785041804202852e-01,0.000000000000000000e+00
6.510558376703297068e-01,0.000000000000000000e+00
6.464331711602391284e-01,0.000000000000000000e+00
6.418105046501485500e-01,0.000000000000000000e+00
6.371878381400579716e-01,0.000000000000000000e+00
6.325651716299673932e-01,0.000000000000000000e+00
6.279425051198768148e-01,0.000000000000000000e+00
6.233198386097862365e-01,0.000000000000000000e+00
6.186971720996956581e-01,0.000000000000000000e+00
6.140745055896050797e-01,0.000000000000000000e+00
6.094518390795145013e-01,0.000000000000000000e+00
6.048291725694239229e-01,0.000000000000000000e+00
6.002065060593333445e-01,0.000000000000000000e+00
5.955838395492427662e-01,0.000000000000000000e+00
5.909611730391521878e-01,0.000000000000000000e+00
5.792499601932947773e-01,0.000000000000000000e+00
5.675387473474373667e-01,0.000000000000000000e+00
5.558275345015799562e-01,0.000000000000000000e+00
5.441163216557225457e-01,0.000000000000000000e+00
5.324051088098651352e-01,0.000000000000000000e+00
5.206938959640077247e-01,0.000000000000000000e+00
5.089826831181503142e-01,0.000000000000000000e+00
4.972714702722929037e-01,0.000000000000000000e+00
4.855602574264354931e-01,0.000000000000000000e+00
4.738490445805780826e-01,0.000000000000000000e+00
4.621378317347206721e-01,0.000000000000000000e+00
4.504266188888632616e-01,0.000000000000000000e+00
4.387154060430058511e-01,0.000000000000000000e+00
4.270041931971484406e-01,0.000000000000000000e+00
4.152929803512910301e-01,0.000000000000000000e+00
4.035817675054336195e-01,0.000000000000000000e+00
3.918705546595762090e-01,0.000000000000000000e+00
3.801593418137187985e-01,0.000000000000000000e+00
3.684481289678613880e-01,0.000000000000000000e+00
3.567369161220039775e-01,0.000000000000000000e+00
3.450257032761465670e-01,0.000000000000000000e+00
3.333144904302891565e-01,0.000000000000000000e+00
3.216032775844317460e-01,0.000000000000000000e+00
3.098920647385743354e-01,0.000000000000000000e+00
2.981808518927169249e-01,0.000000000000000000e+00
2.864696390468595144e-01,0.000000000000000000e+00
2.747584262010021039e-01,0.000000000000000000e+00
2.630472133551446934e-01,0.000000000000000000e+00
2.513360005092872829e-01,0.000000000000000000e+00
2.396247876634298724e-01,0.000000000000000000e+00
2.279135748175724618e-01,0.000000000000000000e+00
2.162023619717150513e-01,0.000000000000000000e+00
2.044911491258576408e-01,0.000000000000000000e+00
