alphas_left,alphas_right
0.000000000000000000e+00,6.081646373830134067e-01
0.000000000000000000e+00,5.983986232207388900e-01
0.000000000000000000e+00,5.886326090584643733e-01
0.000000000000000000e+00,5.788665948961898566e-01
0.000000000000000000e+00,5.691005807339153399e-01
0.000000000000000000e+00,5.593345665716408233e-01
0.000000000000000000e+00,5.495685524093663066e-01
0.000000000000000000e+00,5.398025382470917899e-01
0.000000000000000000e+00,5.300365240848172732e-01
0.000000000000000000e+00,5.202705099225427565e-01
0.000000000000000000e+00,5.105044957602682398e-01
0.000000000000000000e+00,5.007384815979937231e-01
0.000000000000000000e+00,4.909724674357192065e-01
0.000000000000000000e+00,4.812064532734446898e-01
0.000000000000000000e+00,4.714404391111701731e-01
0.000000000000000000e+00,4.616744249488956564e-01
0.000000000000000000e+00,4.519084107866211397e-01
0.000000000000000000e+00,4.421423966243466230e-01
0.000000000000000000e+00,4.323763824620721063e-01
0.000000000000000000e+00,4.226103682997975897e-01
0.000000000000000000e+00,4.128443541375230730e-01
0.000000000000000000e+00,4.030783399752485563e-01
0.000000000000000000e+00,3.933123258129740396e-01
0.000000000000000000e+00,3.835463116506995229e-01
0.000000000000000000e+00,3.737802974884250062e-01
0.000000000000000000e+00,3.640142833261504896e-01
0.000000000000000000e+00,3.542482691638759729e-01
0.000000000000000000e+00,3.444822550016014562e-01
0.000000000000000000e+00,3.354227756266400240e-01
0.000000000000000000e+00,3.263632962516785918e-01
0.000000000000000000e+00,3.173038168767171596e-01
0.000000000000000000e+00,3.082443375017557274e-01
0.000000000000000000e+00,2.991848581267942953e-01
0.000000000000000000e+00,2.901253787518328631e-01
0.000000000000000000e+00,2.810658993768714309e-01
0.000000000000000000e+00,2.720064200019099987e-01
0.000000000000000000e+00,2.629469406269485665e-01
0.000000000000000000e+00,2.538874612519871343e-01
0.000000000000000000e+00,2.448279818770257021e-01
0.000000000000000000e+00,2.357685025020642700e-01
0.000000000000000000e+00,2.267090231271028378e-01
0.000000000000000000e+00,2.176495437521414056e-01
0.000000000000000000e+00,2.085900643771799734e-01
0.000000000000000000e+00,1.995305850022185412e-01
0.000000000000000000e+00,1.904711056272571090e-01
0.000000000000000000e+00,1.814116262522956768e-01
0.000000000000000000e+00,1.723521468773342447e-01
0.000000000000000000e+00,1.632926675023728125e-01
0.000000000000000000e+00,1.542331881274113803e-01
0.000000000000000000e+00,1.451737087524499481e-01
0.000000000000000000e+00,1.361142293774885159e-01
0.000000000000000000e+00,1.270547500025270837e-01
0.000000000000000000e+00,1.179952706275656515e-01
0.000000000000000000e+00,1.089357912526042194e-01
0.000000000000000000e+00,9.987631187764278717e-02
0.000000000000000000e+00,9.081683250268135499e-02
0.000000000000000000e+00,8.175735312771992280e-02
0.000000000000000000e+00,7.269787375275849062e-02
0.000000000000000000e+00,6.363839437779705843e-02
0.000000000000000000e+00,5.457891500283562625e-02
0.000000000000000000e+00,4.551943562787419406e-02
0.000000000000000000e+00,3.645995625291276188e-02
0.000000000000000000e+00,2.740047687795132969e-02
0.000000000000000000e+00,1.834099750298989751e-02
0.000000000000000000e+00,9.281518128028465320e-03
0.000000000000000000e+00,2.220387530670331344e-04
8.837440621894399051e-03,0.000000000000000000e+00
1.789691999685583124e-02,0.000000000000000000e+00
1.419952602991958468e-02,0.000000000000000000e+00
1.050213206298333812e-02,0.000000000000000000e+00
6.804738096047091567e-03,0.000000000000000000e+00
3.107344129110845010e-03,0.000000000000000000e+00
0.000000000000000000e+00,5.900498378254015464e-04
0.000000000000000000e+00,4.287443804761648103e-03
0.000000000000000000e+00,7.984837771697894659e-03
0.000000000000000000e+00,1.168223173863414122e-02
0.000000000000000000e+00,1.537962570557038777e-02
0.000000000000000000e+00,1.907701967250663433e-02
0.000000000000000000e+00,2.277441363944288089e-02
0.000000000000000000e+00,2.647180760637912744e-02
0.000000000000000000e+00,3.016920157331537400e-02
0.000000000000000000e+00,3.386659554025162056e-02
0.000000000000000000e+00,3.756398950718786711e-02
0.000000000000000000e+00,4.126138347412411367e-02
0.000000000000000000e+00,4.495877744106036022e-02
0.000000000000000000e+00,4.865617140799660678e-02
0.000000000000000000e+00,5.235356537493285334e-02
0.000000000000000000e+00,5.605095934186909989e-02
0.000000000000000000e+00,5.974835330880534645e-02
0.000000000000000000e+00,6.344574727574159301e-02
0.000000000000000000e+00,6.714314124267783956e-02
0.000000000000000000e+00,7.084053520961408612e-02
0.000000000000000000e+00,7.453792917655033268e-02
0.000000000000000000e+00,7.823532314348657923e-02
0.000000000000000000e+00,8.193271711042282579e-02
0.000000000000000000e+00,8.563011107735907235e-02
0.000000000000000000e+00,8.932750504429531890e-02
0.000000000000000000e+00,9.302489901123156546e-02
0.000000000000000000e+00,9.672229297816781202e-02
0.000000000000000000e+00,1.004196869451040586e-01
0.000000000000000000e+00,1.041170809120403051e-01
0.000000000000000000e+00,1.078144748789765517e-01
0.000000000000000000e+00,1.115118688459127982e-01
0.000000000000000000e+00,1.152092628128490448e-01
0.000000000000000000e+00,1.189066567797852914e-01
0.000000000000000000e+00,1.226040507467215379e-01
0.000000000000000000e+00,1.263014447136577845e-01
0.000000000000000000e+00,1.299988386805940310e-01
0.000000000000000000e+00,1.336962326475302776e-01
0.000000000000000000e+00,1.373936266144665241e-01
0.000000000000000000e+00,1.410910205814027707e-01
0.000000000000000000e+00,1.447884145483390173e-01
0.000000000000000000e+00,1.484858085152752638e-01
0.000000000000000000e+00,1.521832024822115104e-01
0.000000000000000000e+00,1.558805964491477569e-01
0.000000000000000000e+00,1.595779904160840035e-01
0.000000000000000000e+00,1.632753843830202500e-01
0.000000000000000000e+00,1.669727783499564966e-01
0.000000000000000000e+00,1.706701723168927431e-01
0.000000000000000000e+00,1.743675662838289897e-01
0.000000000000000000e+00,1.780649602507652363e-01
0.000000000000000000e+00,1.817623542177014828e-01
0.000000000000000000e+00,1.854597481846377294e-01
0.000000000000000000e+00,1.891571421515739759e-01
0.000000000000000000e+00,1.928545361185102225e-01
0.000000000000000000e+00,1.965519300854464690e-01
0.000000000000000000e+00,2.002493240523827156e-01
0.000000000000000000e+00,2.039467180193189622e-01
0.000000000000000000e+00,2.076441119862552087e-01
0.000000000000000000e+00,2.113415059531914553e-01
0.000000000000000000e+00,2.150388999201277018e-01
0.000000000000000000e+00,2.187362938870639484e-01
0.000000000000000000e+00,2.224336878540001949e-01
0.000000000000000000e+00,2.261310818209364415e-01
0.000000000000000000e+00,2.298284757878726881e-01
0.000000000000000000e+00,2.335258697548089346e-01
0.000000000000000000e+00,2.372232637217451812e-01
0.000000000000000000e+00,2.409206576886814277e-01
0.000000000000000000e+00,2.446180516556176743e-01
0.000000000000000000e+00,2.483154456225539208e-01
0.000000000000000000e+00,2.520128395894901674e-01
0.000000000000000000e+00,2.557102335564264139e-01
0.000000000000000000e+00,2.594076275233626605e-01
0.000000000000000000e+00,2.631050214902989071e-01
0.000000000000000000e+00,2.668024154572351536e-01
0.000000000000000000e+00,2.704998094241714002e-01
0.000000000000000000e+00,2.741972033911076467e-01
0.000000000000000000e+00,2.778945973580438933e-01
0.000000000000000000e+00,2.815919913249801398e-01
0.000000000000000000e+00,2.852893852919163864e-01
0.000000000000000000e+00,2.889867792588526330e-01
0.000000000000000000e+00,2.926841732257888795e-01
0.000000000000000000e+00,2.963815671927251261e-01
0.000000000000000000e+00,3.000789611596613726e-01
0.000000000000000000e+00,3.037763551265976192e-01
0.000000000000000000e+00,3.074737490935338657e-01
0.000000000000000000e+00,3.111711430604701123e-01
0.000000000000000000e+00,3.148685370274063589e-01
0.000000000000000000e+00,3.185659309943426054e-01
0.000000000000000000e+00,3.222633249612788520e-01
0.000000000000000000e+00,3.259607189282150985e-01
0.000000000000000000e+00,3.296581128951513451e-01
0.000000000000000000e+00,3.333555068620875916e-01
0.000000000000000000e+00,3.370529008290238382e-01
0.000000000000000000e+00,3.407502947959600847e-01
0.000000000000000000e+00,3.444476887628963313e-01
0.000000000000000000e+00,3.481450827298325779e-01
0.000000000000000000e+00,3.518424766967688244e-01
0.000000000000000000e+00,3.555398706637050710e-01
0.000000000000000000e+00,3.592372646306413175e-01
0.000000000000000000e+00,3.629346585975775641e-01
0.000000000000000000e+00,3.666320525645138106e-01
0.000000000000000000e+00,3.703294465314500572e-01
0.000000000000000000e+00,3.740268404983863038e-01
0.000000000000000000e+00,3.777242344653225503e-01
0.000000000000000000e+00,3.814216284322587969e-01
0.000000000000000000e+00,3.851190223991950434e-01
0.000000000000000000e+00,3.888164163661312900e-01
0.000000000000000000e+00,3.925138103330675365e-01
0.000000000000000000e+00,3.962112043000037831e-01
0.000000000000000000e+00,3.999085982669400297e-01
0.000000000000000000e+00,4.036059922338762762e-01
0.000000000000000000e+00,4.073033862008125228e-01
0.000000000000000000e+00,4.110007801677487693e-01
0.000000000000000000e+00,4.146981741346850159e-01
0.000000000000000000e+00,4.183955681016212624e-01
0.000000000000000000e+00,4.220929620685575090e-01
0.000000000000000000e+00,4.257903560354937555e-01
0.000000000000000000e+00,4.294877500024300021e-01
0.000000000000000000e+00,4.331851439693662487e-01
0.000000000000000000e+00,4.368825379363024952e-01
0.000000000000000000e+00,4.405799319032387418e-01
0.000000000000000000e+00,4.442773258701749883e-01
0.000000000000000000e+00,4.479747198371112349e-01
0.000000000000000000e+00,4.516721138040474814e-01
0.000000000000000000e+00,4.525703553608441121e-01
0.000000000000000000e+00,4.522256602007255211e-01
0.000000000000000000e+00,4.518809650406069300e-01
0.000000000000000000e+00,4.515362698804883390e-01
0.000000000000000000e+00,4.511915747203697480e-01
0.000000000000000000e+00,4.508468795602511570e-01
0.000000000000000000e+00,4.505021844001325659e-01
0.000000000000000000e+00,4.501574892400139749e-01
0.000000000000000000e+00,4.498127940798953839e-01
0.000000000000000000e+00,4.494680989197767929e-01
0.000000000000000000e+00,4.491234037596582018e-01
0.000000000000000000e+00,4.487787085995396108e-01
0.000000000000000000e+00,4.484340134394210198e-01
