x,y,wl,wr,slope,friction_coefficient
456.54761710,-84.20115431,4.94671527,4.96576427,-1.00000000,-1.00000000
455.54772080,-84.18819512,4.92205658,4.94086685,-1.00000000,-1.00000000
454.54786530,-84.17077429,4.90329184,4.91955580,-1.00000000,-1.00000000
453.54844720,-84.13693806,4.89932399,4.91135403,-1.00000000,-1.00000000
452.54973170,-84.08616951,4.90758513,4.91695474,-1.00000000,-1.00000000
451.55144600,-84.02764498,4.92022114,4.92896650,-1.00000000,-1.00000000
450.55311730,-83.96986794,4.93088018,4.94053136,-1.00000000,-1.00000000
449.55453910,-83.91655177,4.93803396,4.94850296,-1.00000000,-1.00000000
448.55579320,-83.86648926,4.94281682,4.95385965,-1.00000000,-1.00000000
447.55694090,-83.81859069,4.94609868,4.95747030,-1.00000000,-1.00000000
446.55803550,-83.77181488,4.94865820,4.96016228,-1.00000000,-1.00000000
445.55912110,-83.72523156,4.95123605,4.96266797,-1.00000000,-1.00000000
444.56022540,-83.67824944,4.95412955,4.96547981,-1.00000000,-1.00000000
443.56133210,-83.63121410,4.95690943,4.96833478,-1.00000000,-1.00000000
442.56240570,-83.58488913,4.95898399,4.97063112,-1.00000000,-1.00000000
441.56343250,-83.53958528,4.96029539,4.97213683,-1.00000000,-1.00000000
440.56442630,-83.49501229,4.96116872,4.97312986,-1.00000000,-1.00000000
439.56540370,-83.45081083,4.96190277,4.97391135,-1.00000000,-1.00000000
438.56637380,-83.40677283,4.96257416,4.97461610,-1.00000000,-1.00000000
437.56733760,-83.36288063,4.96313574,4.97520581,-1.00000000,-1.00000000
436.56829460,-83.31914062,4.96354436,4.97565289,-1.00000000,-1.00000000
435.56924080,-83.27564891,4.96371012,4.97589269,-1.00000000,-1.00000000
434.57016880,-83.23257798,4.96350643,4.97580243,-1.00000000,-1.00000000
433.57107270,-83.19007084,4.96284249,4.97527048,-1.00000000,-1.00000000
432.57195370,-83.14810150,4.96178044,4.97430743,-1.00000000,-1.00000000
431.57281950,-83.10649965,4.96045475,4.97304533,-1.00000000,-1.00000000
430.57367800,-83.06507112,4.95903712,4.97163467,-1.00000000,-1.00000000
429.57454350,-83.02347465,4.95783583,4.97034281,-1.00000000,-1.00000000
428.57543640,-82.98122530,4.95724792,4.96955685,-1.00000000,-1.00000000
427.57637230,-82.93797218,4.95748455,4.96956992,-1.00000000,-1.00000000
426.57734440,-82.89388992,4.95829171,4.97026201,-1.00000000,-1.00000000
425.57832810,-82.84954579,4.95920774,4.97118066,-1.00000000,-1.00000000
424.57930520,-82.80534960,4.95996367,4.97198787,-1.00000000,-1.00000000
423.58027200,-82.76138700,4.96054110,4.97260635,-1.00000000,-1.00000000
422.58123150,-82.71759024,4.96099329,4.97309040,-1.00000000,-1.00000000
421.58218270,-82.67398582,4.96126904,4.97342496,-1.00000000,-1.00000000
420.58311840,-82.63073613,4.96122640,4.97348425,-1.00000000,-1.00000000
419.58403060,-82.58803190,4.96072105,4.97311517,-1.00000000,-1.00000000
418.58491860,-82.54589984,4.95978335,4.97228378,-1.00000000,-1.00000000
417.58579020,-82.50415777,4.95856324,4.97112749,-1.00000000,-1.00000000
416.58665430,-82.46259306,4.95723902,4.96981234,-1.00000000,-1.00000000
415.58752450,-82.42088583,4.95610851,4.96860203,-1.00000000,-1.00000000
414.58841930,-82.37859027,4.95555908,4.96787451,-1.00000000,-1.00000000
413.58935410,-82.33536270,4.95582367,4.96792277,-1.00000000,-1.00000000
412.59032910,-82.29121418,4.95675425,4.96867440,-1.00000000,-1.00000000
411.59133200,-82.24643951,4.95807768,4.96989228,-1.00000000,-1.00000000
410.59235860,-82.20113924,4.95949107,4.97115862,-1.00000000,-1.00000000
409.59337410,-82.15607640,4.96137450,4.97335043,-1.00000000,-1.00000000
408.59445340,-82.10964204,4.96233268,4.97472340,-1.00000000,-1.00000000
407.59547970,-82.06435625,4.96429638,4.97840667,-1.00000000,-1.00000000
406.59645210,-82.02026406,4.96681176,4.98139630,-1.00000000,-1.00000000
405.59737110,-81.97740408,4.96999384,4.98588884,-1.00000000,-1.00000000
