alphas_left,alphas_right
0.000000000000000000e+00,7.284558129467209042e-01
0.000000000000000000e+00,7.090599407116663366e-01
0.000000000000000000e+00,6.896640684766117690e-01
0.000000000000000000e+00,6.702681962415572015e-01
0.000000000000000000e+00,6.508723240065026339e-01
0.000000000000000000e+00,6.314764517714480663e-01
0.000000000000000000e+00,6.120805795363934987e-01
0.000000000000000000e+00,5.926847073013389311e-01
0.000000000000000000e+00,5.732888350662843635e-01
0.000000000000000000e+00,5.538929628312297959e-01
0.000000000000000000e+00,5.344970905961752283e-01
0.000000000000000000e+00,5.151012183611206607e-01
0.000000000000000000e+00,4.957053461260660931e-01
0.000000000000000000e+00,4.763094738910115256e-01
0.000000000000000000e+00,4.569136016559569580e-01
0.000000000000000000e+00,4.375177294209023904e-01
0.000000000000000000e+00,4.181218571858478228e-01
0.000000000000000000e+00,3.987259849507932552e-01
0.000000000000000000e+00,3.793301127157386876e-01
0.000000000000000000e+00,3.599342404806841200e-01
0.000000000000000000e+00,3.405383682456295524e-01
0.000000000000000000e+00,3.211424960105749848e-01
0.000000000000000000e+00,3.017466237755204173e-01
0.000000000000000000e+00,2.823507515404658497e-01
0.000000000000000000e+00,2.629548793054112821e-01
0.000000000000000000e+00,2.435590070703567145e-01
0.000000000000000000e+00,2.241631348353021469e-01
0.000000000000000000e+00,2.047672626002475793e-01
0.000000000000000000e+00,2.004109753199326827e-01
0.000000000000000000e+00,1.960546880396177860e-01
0.000000000000000000e+00,1.916984007593028894e-01
0.000000000000000000e+00,1.873421134789879927e-01
0.000000000000000000e+00,1.829858261986730961e-01
0.000000000000000000e+00,1.786295389183581994e-01
0.000000000000000000e+00,1.742732516380433028e-01
0.000000000000000000e+00,1.699169643577284061e-01
0.000000000000000000e+00,1.655606770774135095e-01
0.000000000000000000e+00,1.612043897970986128e-01
0.000000000000000000e+00,1.568481025167837162e-01
0.000000000000000000e+00,1.524918152364688195e-01
0.000000000000000000e+00,1.481355279561539229e-01
0.000000000000000000e+00,1.437792406758390262e-01
0.000000000000000000e+00,1.394229533955241296e-01
0.000000000000000000e+00,1.350666661152092329e-01
0.000000000000000000e+00,1.307103788348943363e-01
0.000000000000000000e+00,1.263540915545794396e-01
0.000000000000000000e+00,1.219978042742645430e-01
0.000000000000000000e+00,1.176415169939496463e-01
0.000000000000000000e+00,1.132852297136347497e-01
0.000000000000000000e+00,1.089289424333198530e-01
0.000000000000000000e+00,1.045726551530049564e-01
0.000000000000000000e+00,1.002163678726900597e-01
0.000000000000000000e+00,9.586008059237516310e-02
0.000000000000000000e+00,9.150379331206026645e-02
0.000000000000000000e+00,8.714750603174536980e-02
0.000000000000000000e+00,8.279121875143047316e-02
0.000000000000000000e+00,7.843493147111557651e-02
0.000000000000000000e+00,7.407864419080067986e-02
0.000000000000000000e+00,6.972235691048578321e-02
0.000000000000000000e+00,6.536606963017088656e-02
0.000000000000000000e+00,6.100978234985598991e-02
0.000000000000000000e+00,5.665349506954109327e-02
0.000000000000000000e+00,5.229720778922619662e-02
0.000000000000000000e+00,4.794092050891129997e-02
0.000000000000000000e+00,4.358463322859640332e-02
0.000000000000000000e+00,3.922834594828150667e-02
0.000000000000000000e+00,3.487205866796661002e-02
0.000000000000000000e+00,3.051577138765171338e-02
0.000000000000000000e+00,3.029862960364959612e-02
0.000000000000000000e+00,3.008148781964747887e-02
0.000000000000000000e+00,2.986434603564536161e-02
0.000000000000000000e+00,2.964720425164324435e-02
0.000000000000000000e+00,2.943006246764112710e-02
0.000000000000000000e+00,2.921292068363900984e-02
0.000000000000000000e+00,2.899577889963689259e-02
0.000000000000000000e+00,2.877863711563477533e-02
0.000000000000000000e+00,2.856149533163265808e-02
0.000000000000000000e+00,2.834435354763054082e-02
0.000000000000000000e+00,2.812721176362842357e-02
0.000000000000000000e+00,2.791006997962630631e-02
0.000000000000000000e+00,2.769292819562418906e-02
0.000000000000000000e+00,2.747578641162207180e-02
0.000000000000000000e+00,2.725864462761995455e-02
0.000000000000000000e+00,2.704150284361783729e-02
0.000000000000000000e+00,2.682436105961572004e-02
0.000000000000000000e+00,2.660721927561360278e-02
0.000000000000000000e+00,2.639007749161148553e-02
0.000000000000000000e+00,2.617293570760936827e-02
0.000000000000000000e+00,2.595579392360725102e-02
0.000000000000000000e+00,2.573865213960513376e-02
0.000000000000000000e+00,2.552151035560301651e-02
0.000000000000000000e+00,2.530436857160089925e-02
0.000000000000000000e+00,2.508722678759878200e-02
0.000000000000000000e+00,2.487008500359666474e-02
0.000000000000000000e+00,2.465294321959454749e-02
0.000000000000000000e+00,2.443580143559243023e-02
0.000000000000000000e+00,2.421865965159031298e-02
0.000000000000000000e+00,2.400151786758819572e-02
0.000000000000000000e+00,2.378437608358607847e-02
0.000000000000000000e+00,2.356723429958396121e-02
0.000000000000000000e+00,2.335009251558184395e-02
0.000000000000000000e+00,2.313295073157972670e-02
0.000000000000000000e+00,2.291580894757760944e-02
0.000000000000000000e+00,2.269866716357549219e-02
0.000000000000000000e+00,2.248152537957337493e-02
0.000000000000000000e+00,2.226438359557125768e-02
0.000000000000000000e+00,2.204724181156914042e-02
0.000000000000000000e+00,2.183010002756702317e-02
0.000000000000000000e+00,2.161295824356490591e-02
0.000000000000000000e+00,2.139581645956278866e-02
0.000000000000000000e+00,2.117867467556067140e-02
0.000000000000000000e+00,2.096153289155855415e-02
0.000000000000000000e+00,2.074439110755643689e-02
0.000000000000000000e+00,2.052724932355431964e-02
0.000000000000000000e+00,2.031010753955220238e-02
0.000000000000000000e+00,2.009296575555008513e-02
0.000000000000000000e+00,1.987582397154796787e-02
0.000000000000000000e+00,1.965868218754585062e-02
